county,fips,date,type,pct_diff
Alameda County,06001,2020-04-21,workplaces,-64
Alameda County,06001,2020-04-21,residential,29
Alameda County,06001,2020-04-22,retail,-63
Alameda County,06001,2020-04-22,grocery,-23
Alameda County,06001,2020-04-22,parks,10
Alameda County,06001,2020-04-22,transit,-69
Alameda County,06001,2020-04-22,workplaces,-64
Alameda County,06001,2020-04-22,residential,28
Alameda County,06001,2020-04-23,retail,-62
Alameda County,06001,2020-04-23,grocery,-21
Alameda County,06001,2020-04-23,parks,10
Alameda County,06001,2020-04-23,transit,-70
Alameda County,06001,2020-04-23,workplaces,-64
Alameda County,06001,2020-04-23,residential,29
Alameda County,06001,2020-04-24,retail,-64
Alameda County,06001,2020-04-24,grocery,-20
Alameda County,06001,2020-04-24,parks,5
Alameda County,06001,2020-04-24,transit,-68
Alameda County,06001,2020-04-24,workplaces,-61
Alameda County,06001,2020-04-24,residential,29
Alameda County,06001,2020-04-25,retail,-67
Alameda County,06001,2020-04-25,grocery,-21
Alameda County,06001,2020-04-25,parks,-3
Alameda County,06001,2020-04-25,transit,-60
Alameda County,06001,2020-04-25,workplaces,-39
Alameda County,06001,2020-04-25,residential,18
Alameda County,06001,2020-04-26,retail,-66
Alameda County,06001,2020-04-26,grocery,-23
Alameda County,06001,2020-04-26,parks,7
Alameda County,06001,2020-04-26,transit,-61
Alameda County,06001,2020-04-26,workplaces,-40
Alameda County,06001,2020-04-26,residential,15
Alameda County,06001,2020-04-27,retail,-61
Alameda County,06001,2020-04-27,grocery,-23
Alameda County,06001,2020-04-27,parks,3
Alameda County,06001,2020-04-27,transit,-68
Alameda County,06001,2020-04-27,workplaces,-62
Alameda County,06001,2020-04-27,residential,27
Alameda County,06001,2020-04-28,retail,-61
Alameda County,06001,2020-04-28,grocery,-19
Alameda County,06001,2020-04-28,parks,11
Alameda County,06001,2020-04-28,transit,-67
Alameda County,06001,2020-04-28,workplaces,-64
Alameda County,06001,2020-04-28,residential,20
Alameda County,06001,2020-04-29,retail,-60
Alameda County,06001,2020-04-29,grocery,-23
Alameda County,06001,2020-04-29,parks,-4
Alameda County,06001,2020-04-29,transit,-67
Alameda County,06001,2020-04-29,workplaces,-63
Alameda County,06001,2020-04-29,residential,28
Alameda County,06001,2020-04-30,retail,-57
Alameda County,06001,2020-04-30,grocery,-20
Alameda County,06001,2020-04-30,parks,8
Alameda County,06001,2020-04-30,transit,-68
Alameda County,06001,2020-04-30,workplaces,-63
Alameda County,06001,2020-04-30,residential,28
Alameda County,06001,2020-05-01,retail,-57
Alameda County,06001,2020-05-01,grocery,-16
Alameda County,06001,2020-05-01,parks,3
Alameda County,06001,2020-05-01,transit,-65
Alameda County,06001,2020-05-01,workplaces,-60
Alameda County,06001,2020-05-01,residential,28
Alameda County,06001,2020-05-02,retail,-62
Alameda County,06001,2020-05-02,grocery,-18
Alameda County,06001,2020-05-02,parks,-7
Alameda County,06001,2020-05-02,transit,-58
Alameda County,06001,2020-05-02,workplaces,-37
Alameda County,06001,2020-05-02,residential,17
Alameda County,06001,2020-05-03,retail,-60
Alameda County,06001,2020-05-03,grocery,-20
Alameda County,06001,2020-05-03,parks,18
Alameda County,06001,2020-05-03,transit,-57
Alameda County,06001,2020-05-03,workplaces,-36
Alameda County,06001,2020-05-03,residential,14
Alameda County,06001,2020-05-04,retail,-54
Alameda County,06001,2020-05-04,grocery,-19
Alameda County,06001,2020-05-04,parks,6
Alameda County,06001,2020-05-04,transit,-67
Alameda County,06001,2020-05-04,workplaces,-60
Alameda County,06001,2020-05-04,residential,26
Alameda County,06001,2020-05-05,retail,-54
Alameda County,06001,2020-05-05,grocery,-13
Alameda County,06001,2020-05-05,parks,14
Alameda County,06001,2020-05-05,transit,-66
Alameda County,06001,2020-05-05,workplaces,-61
Alameda County,06001,2020-05-05,residential,26
Alameda County,06001,2020-05-06,retail,-55
Alameda County,06001,2020-05-06,grocery,-17
Alameda County,06001,2020-05-06,parks,16
Alameda County,06001,2020-05-06,transit,-66
Alameda County,06001,2020-05-06,workplaces,-61
Alameda County,06001,2020-05-06,residential,26
Alameda County,06001,2020-05-07,retail,-55
Alameda County,06001,2020-05-07,grocery,-14
Alameda County,06001,2020-05-07,parks,19
Alameda County,06001,2020-05-07,transit,-66
Alameda County,06001,2020-05-07,workplaces,-61
Alameda County,06001,2020-05-07,residential,27
Alameda County,06001,2020-05-08,retail,-56
Alameda County,06001,2020-05-08,grocery,-11
Alameda County,06001,2020-05-08,parks,10
Alameda County,06001,2020-05-08,transit,-64
Alameda County,06001,2020-05-08,workplaces,-57
Alameda County,06001,2020-05-08,residential,26
Alameda County,06001,2020-05-09,retail,-58
Alameda County,06001,2020-05-09,grocery,-6
Alameda County,06001,2020-05-09,parks,6
Alameda County,06001,2020-05-09,transit,-54
Alameda County,06001,2020-05-09,workplaces,-33
Alameda County,06001,2020-05-09,residential,14
Alameda County,06001,2020-05-10,retail,-58
Alameda County,06001,2020-05-10,grocery,-11
Alameda County,06001,2020-05-10,parks,4
Alameda County,06001,2020-05-10,transit,-54
Alameda County,06001,2020-05-10,workplaces,-32
Alameda County,06001,2020-05-10,residential,11
Alameda County,06001,2020-05-11,retail,-56
Alameda County,06001,2020-05-11,grocery,-24
Alameda County,06001,2020-05-11,parks,-20
Alameda County,06001,2020-05-11,transit,-68
Alameda County,06001,2020-05-11,workplaces,-59
Alameda County,06001,2020-05-11,residential,26
Alameda County,06001,2020-05-12,retail,-55
Alameda County,06001,2020-05-12,grocery,-14
Alameda County,06001,2020-05-12,parks,3
Alameda County,06001,2020-05-12,transit,-66
Alameda County,06001,2020-05-12,workplaces,-60
Alameda County,06001,2020-05-12,residential,26
Alameda County,06001,2020-05-13,retail,-54
Alameda County,06001,2020-05-13,grocery,-17
Alameda County,06001,2020-05-13,parks,-2
Alameda County,06001,2020-05-13,transit,-65
Alameda County,06001,2020-05-13,workplaces,-59
Alameda County,06001,2020-05-13,residential,26
Alameda County,06001,2020-05-14,retail,-54
Alameda County,06001,2020-05-14,grocery,-15
Alameda County,06001,2020-05-14,parks,4
Alameda County,06001,2020-05-14,transit,-67
Alameda County,06001,2020-05-14,workplaces,-60
Alameda County,06001,2020-05-14,residential,26
Alameda County,06001,2020-05-15,retail,-55
Alameda County,06001,2020-05-15,grocery,-14
Alameda County,06001,2020-05-15,parks,14
Alameda County,06001,2020-05-15,transit,-65
Alameda County,06001,2020-05-15,workplaces,-56
Alameda County,06001,2020-05-15,residential,25
Alameda County,06001,2020-05-16,retail,-58
Alameda County,06001,2020-05-16,grocery,-15
Alameda County,06001,2020-05-16,parks,18
Alameda County,06001,2020-05-16,transit,-56
Alameda County,06001,2020-05-16,workplaces,-31
Alameda County,06001,2020-05-16,residential,14
Alameda County,06001,2020-05-17,retail,-59
Alameda County,06001,2020-05-17,grocery,-22
Alameda County,06001,2020-05-17,parks,-6
Alameda County,06001,2020-05-17,transit,-60
Alameda County,06001,2020-05-17,workplaces,-31
Alameda County,06001,2020-05-17,residential,14
Alameda County,06001,2020-05-18,retail,-52
Alameda County,06001,2020-05-18,grocery,-18
Alameda County,06001,2020-05-18,parks,1
Alameda County,06001,2020-05-18,transit,-68
Alameda County,06001,2020-05-18,workplaces,-58
Alameda County,06001,2020-05-18,residential,25
Alameda County,06001,2020-05-19,retail,-51
Alameda County,06001,2020-05-19,grocery,-13
Alameda County,06001,2020-05-19,parks,16
Alameda County,06001,2020-05-19,transit,-66
Alameda County,06001,2020-05-19,workplaces,-58
Alameda County,06001,2020-05-19,residential,25
Alameda County,06001,2020-05-20,retail,-50
Alameda County,06001,2020-05-20,grocery,-14
Alameda County,06001,2020-05-20,parks,19
Alameda County,06001,2020-05-20,transit,-65
Alameda County,06001,2020-05-20,workplaces,-57
Alameda County,06001,2020-05-20,residential,25
Alameda County,06001,2020-05-21,retail,-49
Alameda County,06001,2020-05-21,grocery,-11
Alameda County,06001,2020-05-21,parks,26
Alameda County,06001,2020-05-21,transit,-65
Alameda County,06001,2020-05-21,workplaces,-58
Alameda County,06001,2020-05-21,residential,25
Alameda County,06001,2020-05-22,retail,-50
Alameda County,06001,2020-05-22,grocery,-8
Alameda County,06001,2020-05-22,parks,25
Alameda County,06001,2020-05-22,transit,-63
Alameda County,06001,2020-05-22,workplaces,-54
Alameda County,06001,2020-05-22,residential,24
Alameda County,06001,2020-05-23,retail,-55
Alameda County,06001,2020-05-23,grocery,-11
Alameda County,06001,2020-05-23,parks,24
Alameda County,06001,2020-05-23,transit,-54
Alameda County,06001,2020-05-23,workplaces,-27
Alameda County,06001,2020-05-23,residential,13
Alameda County,06001,2020-05-24,retail,-53
Alameda County,06001,2020-05-24,grocery,-15
Alameda County,06001,2020-05-24,parks,38
Alameda County,06001,2020-05-24,transit,-53
Alameda County,06001,2020-05-24,workplaces,-28
Alameda County,06001,2020-05-24,residential,10
Alameda County,06001,2020-05-25,retail,-52
Alameda County,06001,2020-05-25,grocery,-15
Alameda County,06001,2020-05-25,parks,55
Alameda County,06001,2020-05-25,transit,-72
Alameda County,06001,2020-05-25,workplaces,-79
Alameda County,06001,2020-05-25,residential,27
Alameda County,06001,2020-05-26,retail,-48
Alameda County,06001,2020-05-26,grocery,-11
Alameda County,06001,2020-05-26,parks,23
Alameda County,06001,2020-05-26,transit,-65
Alameda County,06001,2020-05-26,workplaces,-56
Alameda County,06001,2020-05-26,residential,24
Alameda County,06001,2020-05-27,retail,-48
Alameda County,06001,2020-05-27,grocery,-13
Alameda County,06001,2020-05-27,parks,19
Alameda County,06001,2020-05-27,transit,-64
Alameda County,06001,2020-05-27,workplaces,-55
Alameda County,06001,2020-05-27,residential,24
Alameda County,06001,2020-05-28,retail,-48
Alameda County,06001,2020-05-28,grocery,-11
Alameda County,06001,2020-05-28,parks,25
Alameda County,06001,2020-05-28,transit,-64
Alameda County,06001,2020-05-28,workplaces,-55
Alameda County,06001,2020-05-28,residential,24
Alameda County,06001,2020-05-29,retail,-50
Alameda County,06001,2020-05-29,grocery,-12
Alameda County,06001,2020-05-29,parks,21
Alameda County,06001,2020-05-29,transit,-60
Alameda County,06001,2020-05-29,workplaces,-52
Alameda County,06001,2020-05-29,residential,24
Alameda County,06001,2020-05-30,retail,-56
Alameda County,06001,2020-05-30,grocery,-17
Alameda County,06001,2020-05-30,parks,-1
Alameda County,06001,2020-05-30,transit,-54
Alameda County,06001,2020-05-30,workplaces,-20
Alameda County,06001,2020-05-30,residential,14
Alameda County,06001,2020-05-31,retail,-55
Alameda County,06001,2020-05-31,grocery,-21
Alameda County,06001,2020-05-31,parks,24
Alameda County,06001,2020-05-31,transit,-50
Alameda County,06001,2020-05-31,workplaces,-21
Alameda County,06001,2020-05-31,residential,12
Alameda County,06001,2020-06-01,retail,-53
Alameda County,06001,2020-06-01,grocery,-21
Alameda County,06001,2020-06-01,parks,7
Alameda County,06001,2020-06-01,transit,-63
Alameda County,06001,2020-06-01,workplaces,-56
Alameda County,06001,2020-06-01,residential,24
Alameda County,06001,2020-06-02,retail,-53
Alameda County,06001,2020-06-02,grocery,-15
Alameda County,06001,2020-06-02,parks,16
Alameda County,06001,2020-06-02,transit,-65
Alameda County,06001,2020-06-02,workplaces,-56
Alameda County,06001,2020-06-02,residential,25
Alameda County,06001,2020-06-03,retail,-51
Alameda County,06001,2020-06-03,grocery,-13
Alameda County,06001,2020-06-03,parks,13
Alameda County,06001,2020-06-03,transit,-63
Alameda County,06001,2020-06-03,workplaces,-55
Alameda County,06001,2020-06-03,residential,24
Alameda County,06001,2020-06-04,retail,-50
Alameda County,06001,2020-06-04,grocery,-11
Alameda County,06001,2020-06-04,parks,23
Alameda County,06001,2020-06-04,transit,-64
Alameda County,06001,2020-06-04,workplaces,-55
Alameda County,06001,2020-06-04,residential,24
Alameda County,06001,2020-06-05,retail,-52
Alameda County,06001,2020-06-05,grocery,-11
Alameda County,06001,2020-06-05,parks,11
Alameda County,06001,2020-06-05,transit,-62
Alameda County,06001,2020-06-05,workplaces,-51
Alameda County,06001,2020-06-05,residential,23
Alameda County,06001,2020-06-06,retail,-55
Alameda County,06001,2020-06-06,grocery,-11
Alameda County,06001,2020-06-06,parks,24
Alameda County,06001,2020-06-06,transit,-52
Alameda County,06001,2020-06-06,workplaces,-19
Alameda County,06001,2020-06-06,residential,12
Alameda County,06001,2020-06-07,retail,-53
Alameda County,06001,2020-06-07,grocery,-17
Alameda County,06001,2020-06-07,parks,32
Alameda County,06001,2020-06-07,transit,-50
Alameda County,06001,2020-06-07,workplaces,-21
Alameda County,06001,2020-06-07,residential,10
Alameda County,06001,2020-06-08,retail,-47
Alameda County,06001,2020-06-08,grocery,-14
Alameda County,06001,2020-06-08,parks,26
Alameda County,06001,2020-06-08,transit,-61
Alameda County,06001,2020-06-08,workplaces,-53
Alameda County,06001,2020-06-08,residential,22
Alameda County,06001,2020-06-09,retail,-47
Alameda County,06001,2020-06-09,grocery,-9
Alameda County,06001,2020-06-09,parks,40
Alameda County,06001,2020-06-09,transit,-61
Alameda County,06001,2020-06-09,workplaces,-54
Alameda County,06001,2020-06-09,residential,22
Alameda County,06001,2020-06-10,retail,-47
Alameda County,06001,2020-06-10,grocery,-13
Alameda County,06001,2020-06-10,parks,37
